product_id,product_name,category,brand,unit_price,unit_cost,stock_qty,is_active
31,FreshMart Beauty My-031,Beauty,FreshMart,682.52,356.28,321,1
32,NovaTech Toys One-032,Toys,NovaTech,176.75,71.45,149,0
33,FreshMart Electronics Town-033,Electronics,FreshMart,680.29,289.84,127,1
34,GlowLab Electronics Sister-034,Electronics,GlowLab,369.27,239.03,107,1
35,GlowLab Automotive Significant-035,Automotive,GlowLab,593.85,342.06,255,1
36,GlowLab Beauty Beat-036,Beauty,GlowLab,495.03,283.14,156,1
37,PlayZone Clothing Will-037,Clothing,PlayZone,253.77,126.67,135,1
38,GlowLab Grocery Book-038,Grocery,GlowLab,272.91,131.36,86,1
39,PageTurner Clothing Large-039,Clothing,PageTurner,467.56,291.13,387,1
40,PlayZone Home & Kitchen Scene-040,Home & Kitchen,PlayZone,496.68,185.15,339,1
41,HomeNest Sports Bank-041,Sports,HomeNest,574.12,292.71,53,1
42,VitalCare Sports How-042,Sports,VitalCare,458.23,171.68,20,1
43,FitPro Home & Kitchen Care-043,Home & Kitchen,FitPro,25.96,10.83,115,1
44,HomeNest Books Sometimes-044,Books,HomeNest,14.87,6.29,224,1
45,VitalCare Automotive Add-045,Automotive,VitalCare,157.83,64.05,294,0
46,FitPro Toys Color-046,Toys,FitPro,566.86,365.38,189,1
47,GlowLab Books Nature-047,Books,GlowLab,434.59,162.15,359,1
48,VitalCare Automotive Smile-048,Automotive,VitalCare,107.37,69.18,243,1
49,VitalCare Clothing Campaign-049,Clothing,VitalCare,186.12,84.59,114,1
50,NovaTech Health Compare-050,Health,NovaTech,370.89,178.53,87,1
51,DriveMax Grocery Decade-051,Grocery,DriveMax,521.96,322.96,32,1
52,FitPro Clothing Left-052,Clothing,FitPro,457.95,290.43,251,1
53,PlayZone Home & Kitchen True-053,Home & Kitchen,PlayZone,176.09,85.52,169,1
54,PlayZone Automotive Build-054,Automotive,PlayZone,119.66,61.25,3,0
55,GlowLab Electronics American-055,Electronics,GlowLab,472.02,274.9,211,1
56,PageTurner Books Value-056,Books,PageTurner,783.92,456.34,15,1
57,UrbanWear Grocery Language-057,Grocery,UrbanWear,268.77,101.66,350,1
58,PlayZone Toys Mission-058,Toys,PlayZone,558.64,218.74,181,1
59,FitPro Toys Conference-059,Toys,FitPro,402.24,163.06,331,1
60,FreshMart Beauty Produce-060,Beauty,FreshMart,602.69,305.66,285,1
61,UrbanWear Beauty Suggest-061,Beauty,UrbanWear,0.0,88.81,196,1
62,VitalCare Health Network-062,Health,VitalCare,302.99,112.35,255,1
63,GlowLab Books Message-063,Books,GlowLab,82.09,45.56,90,0
64,DriveMax Home & Kitchen Challenge-064,Home & Kitchen,DriveMax,123.33,73.47,275,0
65,FitPro Clothing Smile-065,Clothing,FitPro,748.34,286.11,85,0
66,PageTurner Grocery Two-066,Grocery,PageTurner,484.78,314.72,337,1
67,FreshMart Toys Officer-067,Toys,FreshMart,755.48,415.98,72,1
68,PageTurner Grocery Kid-068,Grocery,PageTurner,636.26,230.63,245,1
69,UrbanWear Health Inside-069,Health,UrbanWear,678.97,256.17,288,1
70,DriveMax Automotive Act-070,Automotive,DriveMax,318.37,163.61,229,1
71,PlayZone Sports Fine-071,Sports,PlayZone,326.37,151.15,164,1
72,PlayZone Health Buy-072,Health,PlayZone,248.19,160.75,357,1
73,PageTurner Electronics Learn-073,Electronics,PageTurner,757.68,335.0,277,1
74,NovaTech Beauty Financial-074,Beauty,NovaTech,429.76,156.5,275,1
75,DriveMax Toys Service-075,Toys,DriveMax,421.56,170.09,109,1
76,PageTurner Home & Kitchen Win-076,Home & Kitchen,PageTurner,571.36,212.48,327,1
77,PlayZone Electronics Up-077,Electronics,PlayZone,0.0,93.99,123,1
78,HomeNest Beauty Require-078,Beauty,HomeNest,789.72,472.23,22,1
79,PageTurner Health Experience-079,Health,PageTurner,499.3,213.43,363,1
80,PageTurner Sports Necessary-080,Sports,PageTurner,752.51,410.87,5,1
81,PlayZone Toys Future-081,Toys,PlayZone,226.08,140.24,307,1
82,NovaTech Toys Possible-082,Toys,NovaTech,558.31,270.63,326,1
83,FreshMart Home & Kitchen Visit-083,Home & Kitchen,FreshMart,57.87,29.58,348,1
84,FitPro Toys Hot-084,Toys,FitPro,431.32,187.8,61,1
85,UrbanWear Books Organization-085,Books,UrbanWear,446.02,222.74,240,1
86,PageTurner Clothing Rate-086,Clothing,PageTurner,35.23,16.43,34,1
87,GlowLab Health Company-087,Health,GlowLab,353.29,138.78,257,1
88,PageTurner Books Chance-088,Books,PageTurner,581.3,211.09,128,0
89,FreshMart Beauty Fill-089,Beauty,FreshMart,164.51,89.37,149,1
90,HomeNest Books Necessary-090,Books,HomeNest,503.63,227.02,225,1
91,VitalCare Books Reveal-091,Books,VitalCare,425.2,219.85,29,1
92,PlayZone Clothing Democratic-092,Clothing,PlayZone,416.84,148.08,164,1
93,UrbanWear Home & Kitchen Suggest-093,Home & Kitchen,UrbanWear,-549.02,193.13,198,1
94,PageTurner Clothing Positive-094,Clothing,PageTurner,610.92,220.27,243,0
95,FitPro Toys Send-095,Toys,FitPro,550.05,256.34,251,1
96,FreshMart Beauty Hot-096,Beauty,FreshMart,385.9,239.09,114,1
97,PlayZone Home & Kitchen Natural-097,Home & Kitchen,PlayZone,799.31,491.24,153,1
98,PlayZone Grocery Point-098,Grocery,PlayZone,569.99,292.09,320,1
99,PlayZone Toys Enter-099,Toys,PlayZone,707.47,345.37,237,1
100,PlayZone Beauty Marriage-100,Beauty,PlayZone,110.82,56.41,291,1
101,GlowLab Health Maintain-101,Health,GlowLab,720.77,370.81,329,1
102,HomeNest Toys Develop-102,Toys,HomeNest,378.83,194.28,396,1
103,NovaTech Toys Would-103,Toys,NovaTech,163.53,73.8,264,1
104,NovaTech Grocery Give-104,Grocery,NovaTech,556.7,259.31,381,1
105,PlayZone Home & Kitchen Within-105,Home & Kitchen,PlayZone,462.17,272.8,125,1
106,FreshMart Home & Kitchen Skin-106,Home & Kitchen,FreshMart,256.39,161.5,18,1
107,UrbanWear Clothing Service-107,Clothing,UrbanWear,22.07,13.82,46,1
108,PageTurner Beauty Together-108,Beauty,PageTurner,596.14,379.97,319,0
109,FreshMart Health Without-109,Health,FreshMart,382.69,214.72,287,1
110,HomeNest Home & Kitchen Central-110,Home & Kitchen,HomeNest,335.07,170.78,282,1
111,PageTurner Sports Community-111,Sports,PageTurner,781.01,428.9,386,1
112,FreshMart Toys Need-112,Toys,FreshMart,306.6,122.99,185,0
113,VitalCare Health Senior-113,Health,VitalCare,149.56,92.46,290,1
114,UrbanWear Beauty Themselves-114,Beauty,UrbanWear,709.75,263.08,201,0
115,PageTurner Clothing Matter-115,Clothing,PageTurner,769.44,343.33,42,1
116,NovaTech Grocery Action-116,Grocery,NovaTech,499.37,263.22,129,1
117,DriveMax Sports Friend-117,Sports,DriveMax,723.89,258.45,332,1
118,FitPro Sports Keep-118,Sports,FitPro,361.9,173.67,388,1
119,GlowLab Clothing Country-119,Clothing,GlowLab,443.26,172.51,376,1
120,PlayZone Sports Citizen-120,Sports,PlayZone,163.71,80.39,138,1
121,GlowLab Beauty Many-121,Beauty,GlowLab,643.49,390.01,175,1
122,FitPro Beauty Audience-122,Beauty,FitPro,444.14,220.58,343,1
123,DriveMax Beauty Accept-123,Beauty,DriveMax,717.17,255.96,124,1
124,UrbanWear Beauty Forget-124,Beauty,UrbanWear,127.43,75.24,4,1
125,VitalCare Beauty Science-125,Beauty,VitalCare,60.95,31.99,323,1
126,VitalCare Clothing Cup-126,Clothing,VitalCare,101.97,57.23,41,1
127,NovaTech Clothing Decision-127,Clothing,NovaTech,349.21,194.05,198,1
128,PageTurner Automotive Rule-128,Automotive,PageTurner,383.45,156.9,95,1
129,NovaTech Health Between-129,Health,NovaTech,356.8,179.21,134,1
130,VitalCare Automotive Note-130,Automotive,VitalCare,778.31,435.85,95,1
131,HomeNest Books Low-131,Books,HomeNest,318.76,191.51,327,1
132,FitPro Toys Give-132,Toys,FitPro,660.44,376.87,349,1
133,UrbanWear Home & Kitchen Between-133,Home & Kitchen,UrbanWear,53.99,26.9,386,1
134,FreshMart Clothing Ask-134,Clothing,FreshMart,14.54,8.34,185,1
135,UrbanWear Health Probably-135,Health,UrbanWear,457.51,259.93,245,1
136,FreshMart Sports Management-136,Sports,FreshMart,254.21,165.17,21,1
137,FreshMart Toys Phone-137,Toys,FreshMart,704.57,315.16,206,1
138,FreshMart Grocery Close-138,Grocery,FreshMart,126.38,72.21,71,1
139,HomeNest Toys Audience-139,Toys,HomeNest,322.53,114.24,88,1
140,PageTurner Home & Kitchen Hard-140,Home & Kitchen,PageTurner,80.4,37.58,11,1
141,FitPro Home & Kitchen Provide-141,Home & Kitchen,FitPro,664.67,402.89,310,1
142,PlayZone Toys Operation-142,Toys,PlayZone,758.12,301.69,54,1
143,FreshMart Beauty Use-143,Beauty,FreshMart,488.21,191.59,110,1
144,FitPro Electronics Draw-144,Electronics,FitPro,507.04,228.97,313,1
145,DriveMax Home & Kitchen Hair-145,Home & Kitchen,DriveMax,229.11,130.0,189,1
146,UrbanWear Grocery Production-146,Grocery,UrbanWear,19.08,8.8,352,1
147,FreshMart Beauty Address-147,Beauty,FreshMart,630.5,325.65,99,0
148,VitalCare Beauty Without-148,Beauty,VitalCare,777.04,325.33,127,1
149,NovaTech Grocery Data-149,Grocery,NovaTech,254.2,156.13,164,1
150,FreshMart Grocery Face-150,Grocery,FreshMart,484.06,298.8,230,1
